lambda,auc,fairness
0.3,0.9092940054443679,0.31300426
0.29,0.9101830285254199,0.31632546
0.27999999999999997,0.9050300494593974,0.44068164
0.27,0.910016246836899,0.30182338
0.26,0.9097258166551646,0.34364262
0.25,0.4628671114178361,1.788251
0.24,0.9101636185875317,0.2987883
0.22999999999999998,0.9099283030442451,0.35945866
0.22,0.9114441952304272,0.3257295
0.21000000000000002,0.9103644275745726,0.33714756
0.2,0.9106095679012347,0.3069135
0.19,0.9098108849014648,0.30212104
0.18,0.9092106146001074,0.32074815
0.17,0.9096160666359943,0.33411023
0.16,0.9106687562303504,0.3348835
0.15000000000000002,0.908223583314163,0.36197826
0.14,0.9098250230043707,0.3314161
0.13,0.9097052085729623,0.32686037
0.12000000000000002,0.4862048059964727,0.9641095
0.11000000000000001,0.9092844202898551,0.32571763
0.10000000000000003,0.9094916992561921,0.33374405
0.09000000000000002,0.9081473813357871,0.34419766
0.08000000000000002,0.9105443888505483,0.34698448
0.07000000000000003,0.9094277183498198,0.32413065
0.060000000000000026,0.9094842707614446,0.316824
0.05000000000000002,0.9079523234414538,0.3361646
0.040000000000000036,0.9109516381029064,0.3113659
0.030000000000000027,0.9102160973084887,0.29892367
0.020000000000000018,0.9097603232114102,0.31111905
0.01,0.3817929990031439,1.0652375
